"state","year","month","outage_count","max_outage_duration","customer_weighted_hours"
"WI",2015,7,341,18.25,784644.75
"WI",2015,8,235,31.25,890183.5
"WI",2015,9,157,7.5,201220
"WI",2015,10,122,8.25,186200.25
"WI",2015,11,186,12,245264.25
"WI",2015,12,155,21,265998.25
"WY",2015,0,4,9.25,5287.25
"WY",2015,1,0,0,0
"WY",2015,2,0,0,0
"WY",2015,3,0,0,0
"WY",2015,4,1,9.25,3006.25
"WY",2015,5,2,4.5,2035.75
"WY",2015,6,1,0.75,245.25
"WY",2015,7,0,0,0
"WY",2015,8,0,0,0
"WY",2015,9,0,0,0
"WY",2015,10,0,0,0
"WY",2015,11,0,0,0
"WY",2015,12,0,0,0
"AL",2016,0,483,19.25,688968.5
"AL",2016,1,29,5,37846.5
"AL",2016,2,39,9.25,42887.25
"AL",2016,3,36,3.75,28500.25
"AL",2016,4,29,5.25,24708.25
"AL",2016,5,36,9.5,70392.5
"AL",2016,6,61,19.25,192457.75
"AL",2016,7,80,4.5,54132.25
"AL",2016,8,54,8.5,65080.5
"AL",2016,9,25,19.25,30689.75
"AL",2016,10,18,7.25,45510.5
"AL",2016,11,47,11.75,55450
"AL",2016,12,29,5.75,41313
"AK",2016,0,56,34,138765.25
"AK",2016,1,9,12.5,31291.25
"AK",2016,2,2,4.25,1388
"AK",2016,3,0,0,0
"AK",2016,4,1,3.25,2248
"AK",2016,5,3,34,20872.25
"AK",2016,6,3,1.25,1833.5
"AK",2016,7,5,3.25,6027
"AK",2016,8,4,3.75,5519.75
"AK",2016,9,7,11.75,20992.75
"AK",2016,10,8,5.5,21607
"AK",2016,11,1,2.5,724.75
"AK",2016,12,13,6.5,26261
"AZ",2016,0,806,21.5,1660966.25
"AZ",2016,1,70,17.25,102417.5
"AZ",2016,2,55,9.5,266316
"AZ",2016,3,47,3.25,62313
"AZ",2016,4,58,13.25,113614.5
"AZ",2016,5,58,6.5,91447.5
"AZ",2016,6,116,17.25,234931.75
"AZ",2016,7,94,21.5,310858.75
"AZ",2016,8,82,10.25,152472.5
"AZ",2016,9,63,17.25,88690.75
"AZ",2016,10,61,8,93243.5
"AZ",2016,11,53,8.75,84640.25
"AZ",2016,12,49,4,60020.25
"AR",2016,0,2061,39.25,7725929
"AR",2016,1,128,26.75,432601.5
"AR",2016,2,100,12,118668.25
"AR",2016,3,193,29.5,419192.5
"AR",2016,4,180,39.25,574406
"AR",2016,5,196,16,317104.75
"AR",2016,6,194,20.25,379386.5
"AR",2016,7,372,31.5,4404928.75
"AR",2016,8,239,30,437404.75
"AR",2016,9,136,9.25,171802.25
"AR",2016,10,114,8.25,192802
"AR",2016,11,86,15,115073.25
"AR",2016,12,123,11,162558.5
"CA",2016,0,5395,94,27205879.25
"CA",2016,1,432,76.75,3141638.5
"CA",2016,2,387,72.25,2236140
"CA",2016,3,405,69.5,2846877
"CA",2016,4,494,46,2356203.75
"CA",2016,5,446,66.25,1780095.5
"CA",2016,6,487,70.5,2169925.5
"CA",2016,7,484,94,2085134
"CA",2016,8,521,74,2078979.5
"CA",2016,9,501,71.5,2080104.5
"CA",2016,10,428,81.75,2433940.5
"CA",2016,11,422,46.25,1908953.25
"CA",2016,12,388,67.25,2087887.25
"CO",2016,0,1234,49.5,4093727.5
"CO",2016,1,123,9.5,185359
"CO",2016,2,99,46,246217.25
"CO",2016,3,119,49.5,2321151
"CO",2016,4,157,9.25,208045.5
"CO",2016,5,112,26,205615.75
"CO",2016,6,195,10.25,276971.5
"CO",2016,7,164,17.5,240493.25
"CO",2016,8,142,21,288407.75
"CO",2016,9,76,9.25,67885.5
"CO",2016,10,14,8,14246.5
"CO",2016,11,9,3,8020.5
"CO",2016,12,24,7.75,31314
"CT",2016,0,1527,63.25,4131150.75
"CT",2016,1,91,11.75,100443.25
"CT",2016,2,147,63.25,2252938
"CT",2016,3,111,16,114424.75
